id_station_itinerance,consolidated_longitude,consolidated_latitude,nbre_pdc,puissance_nominale
FRELCPBLOHM,7.502904,47.608214,8,225000
FRELCPECUSM,4.783111,45.785651,4,150000
FRELCPSBARS,-0.502617,47.481716,4,150000
FRELCPAUBFV,1.859355,48.96404,8,225000
FRELCPCSRKY,4.790077,45.585027,4,150000
FRELCPFREEH,2.336357,48.75416,4,150000
FRELCPNANHC,2.213822,48.891968,2,225000
FRELCPPLRBO,2.238392,48.77325,4,150000
FRELCPAUBVM,2.37351,48.919733,4,225000
FRELCPORAPG,4.838681,44.11893,4,150000
FRELCPLMAPM,0.181986,48.031126,8,225000
FRELCPBORBL,-0.567111,44.890889,8,225000
FRELCPVITHK,5.251933,43.425474,4,150000
FRELCPVERHC,1.945414,48.757309,4,150000
FRELCPSFOMB,4.854558,45.71459,4,225000
FRELCPMAUCC,1.914724,48.761402,4,150000
FRELCPSDRPG,4.822159,45.635079,8,225000
FRELCPBOBHC,2.457028,48.905736,4,150000
FRELCPSORDD,4.8863,43.984501,6,225000
FRELCPGONHI,2.463384,48.968672,8,225000
FRELCPPARIIT,2.35992,48.816784,4,150000
FRELCPRENNO,-1.682919,48.082244,4,225000
FRELCPEYSPC,-0.628969,44.880766,4,150000
FRELCPAULCE,2.486965,48.951196,8,225000
FRELCPSLMPC,5.063726,45.688196,4,150000
FRELCPANGHM,-0.593419,47.468511,4,150000
FRELCPSJVHC,3.83571,43.567505,4,150000
FRELCPPASDC,6.691718,45.916657,6,225000
FRELCPARGHC,2.241461,48.935171,4,150000
FRELCPDECPL,3.106779,50.342703,4,225000
FRELCPBSGPC,2.70466,48.83257,4,150000
FRELCPPESPC,-0.644915,44.788386,4,150000
FRELCPVDOBH,-0.587263,44.783785,4,150000
FRELCPBLAPC,1.375103,43.637548,4,150000
FRELCPAXPHC,5.43628,43.512207,4,150000
FRELCPCHEHC,2.60135,48.87747,4,150000
FRELCPULIHM,2.198339,48.678843,4,150000
FRELCPMARHC,5.356319,43.379383,4,225000
FRELCPRONIH,2.475527,48.878167,6,225000
FRELCPBEAGH,4.851826,47.009538,8,225000
FRELCPGRAHC,-0.602809,44.790293,4,150000
FRELCPGOOOC,0.223741,49.506783,8,300000
FRELCPVILHC,2.55363,48.9613,4,150000
FRELCPCOQCH,1.807382,50.927269,8,225000
FRELCPAPBHC,-0.498058,44.867476,4,150000
FRELCPLBOHK,2.431404,48.939822,4,150000
FRELCPMONHC,3.891127,43.586799,4,150000
FRELCPTOUCM,1.432381,43.627319,4,150000
FROTHPOTHR17811,-1.146988,44.656649,1,7000
FROTHPOTHR18151,-1.201663,44.641716,1,7000
FROTHPOTHR17911,-1.165259,44.659664,1,7000
FROTHPOTHR18011,-1.193047,44.658496,1,7000
FRLGCPGACO521,2.239232,48.903313,1,7000
FRLGCPGACO611,2.231137,48.903906,1,7000
FRLGCPGACO411,2.255774,48.905086,1,7000
FRLGCPGACO221,2.237217,48.908458,1,7000
FRLGCPGACO351,2.257169,48.913486,1,3000
FRLGCPGACO111,2.249567,48.906326,1,3000
FRE04POAZS22331,4.888315,44.966278,2,50000
FRE04POAZS22211,2.365344,48.732587,2,350000
FRM54PCUGN7911,6.673311,48.569703,2,22000
FRM54PCUGN7611,6.529611,48.574109,2,22000
FRM54PCUGN8011,6.622318,48.578039,2,22000
FRM54PCUGN7812,6.604733,48.539439,2,22000
FRM54PCUGN8111,6.50647,48.584835,2,22000
FRM54PCUGN7712,6.461325,48.533034,2,22000
FRM54PCUGN7011,6.632634,48.519024,2,22000
FRM54PCUGN7512,6.774703,48.480564,2,22000
FRM54PCUGN7412,6.815633,48.480022,2,22000
FRM54PCUGN6912,6.541528,48.529466,2,22000
FRM54PCUGN7312,6.813043,48.466942,2,22000
FRM54PCUGN7212,6.79138,48.419586,2,22000
FRM54PCUGN7112,6.550392,48.463424,2,22000
FRM54PCUGN4622,6.188514,48.684557,2,22000
FRM54PCUGN8212,6.451822,48.500395,2,22000
FRM54PCUGN5211,6.503267,48.59336,2,22000
FRM54PCUGN5711,6.607995,48.531142,2,22000
FRM54PCUGN5612,6.739727,48.443202,2,22000
FRM54PCUGN5412,6.694515,48.487852,2,22000
FRM54PCUGN5312,6.500003,48.591825,2,22000
