name,range,battery_useable
LUCID AIR DREAM EDITION R,685,118.0
LUCID AIR GRAND TOURING,665,112.0
LUCID AIR DREAM EDITION P,645,118.0
MERCEDES EQS 450+,640,107.8
MERCEDES EQS 450 4MATIC,615,107.8
MERCEDES EQS 500 4MATIC,605,107.8
MERCEDES EQS 580 4MATIC,605,107.8
TESLA MODEL S DUAL MOTOR,570,95.0
MERCEDES EQS AMG 53 4MATIC+,565,107.8
LUCID AIR PURE,560,88.0
LUCID AIR TOURING,550,88.0
TESLA MODEL S PLAID,550,95.0
MERCEDES EQE 350+,525,90.6
AUDI Q8 E-TRON SPORTBACK 55 QUATTRO,525,106.0
VINFAST VF 9 EXTENDED RANGE,520,123.0
LOTUS ELETRE,520,107.0
MERCEDES EQE 300,515,89.0
MERCEDES EQE 350,515,89.0
BMW I7 XDRIVE60,510,101.7
FISKER OCEAN ULTRA,510,100.0
FISKER OCEAN EXTREME,510,100.0
FISKER OCEAN ONE,510,100.0
BMW IX XDRIVE50,505,105.2
NIO ET7 100 KWH,505,90.0
XPENG P7 RWD LONG RANGE,500,82.7
MERCEDES EQE 350 4MATIC,500,90.6
MERCEDES EQE 500 4MATIC,500,90.6
MERCEDES EQS SUV 450+,495,108.4
AUDI Q8 E-TRON 55 QUATTRO,495,106.0
NIO ET5 100 KWH,495,90.0
POLESTAR 3 LONG RANGE DUAL MOTOR,490,107.0
MERCEDES EQS SUV 500 4MATIC,485,108.4
BMW IX M60,485,105.2
TESLA MODEL 3 LONG RANGE DUAL MOTOR,485,75.0
MERCEDES EQE AMG 43 4MATIC,485,90.6
MERCEDES EQS SUV 450 4MATIC,485,108.4
MERCEDES EQS SUV 580 4MATIC,485,108.4
MERCEDES EQE AMG 53 4MATIC+,480,90.6
PORSCHE TAYCAN PLUS,475,83.7
HYUNDAI IONIQ 6 LONG RANGE 2WD,475,74.0
XPENG P7 AWD PERFORMANCE,470,82.7
XPENG G9 RWD LONG RANGE,470,94.0
TESLA MODEL X DUAL MOTOR,470,95.0
POLESTAR 3 LONG RANGE PERFORMANCE,470,107.0
MERCEDES EQE SUV 350+,470,90.6
BMW I4 EDRIVE40,470,80.7
AUDI SQ8 E-TRON SPORTBACK,470,106.0
XPENG P7 WING EDITION,465,82.7
BYD HAN,465,83.0
KIA EV9 99.8 KWH RWD,460,99.8
TESLA MODEL 3 PERFORMANCE,460,75.0
PORSCHE TAYCAN 4S PLUS,460,83.7
VOLKSWAGEN ID.3 PRO S - 4 SEATS,455,77.0
TESLA MODEL X PLAID,455,95.0
FORD MUSTANG MACH-E ER RWD,455,91.0
MERCEDES EQE SUV 350 4MATIC,455,90.6
MERCEDES EQE SUV 500 4MATIC,455,90.6
ROLLS-ROYCE SPECTRE,455,100.0
VOLVO EX90 TWIN MOTOR,455,107.0
PORSCHE TAYCAN GTS,450,83.7
KIA EV9 99.8 KWH AWD,450,99.8
LOTUS ELETRE R,450,107.0
CUPRA BORN 170 KW - 77 KWH,450,77.0
PORSCHE TAYCAN PLUS SPORT TURISMO,445,83.7
SKODA ENYAQ COUPE IV 80,445,77.0
AUDI SQ8 E-TRON,445,106.0
POLESTAR 2 LONG RANGE SINGLE MOTOR,440,78.0
XPENG G9 AWD LONG RANGE,440,94.0
GENESIS G80 ELECTRIFIED LUXURY,440,82.5
HYUNDAI IONIQ 6 LONG RANGE AWD,440,74.0
FORD MUSTANG MACH-E ER AWD,440,91.0
AUDI Q8 E-TRON SPORTBACK 50 QUATTRO,440,89.0
VOLVO EX90 TWIN MOTOR PERFORMANCE,440,107.0
NISSAN ARIYA 87KWH,435,87.0
TESLA MODEL Y LONG RANGE DUAL MOTOR,435,75.0
MERCEDES EQE SUV AMG 43 4MATIC,435,90.6
BMW I4 M50,435,80.7
VOLKSWAGEN ID.5 PRO,430,77.0
VOLKSWAGEN ID.5 PRO PERFORMANCE,430,77.0
PORSCHE TAYCAN 4S PLUS SPORT TURISMO,430,83.7
SKODA ENYAQ COUPE IV 80X,430,77.0
NIO EL7 100 KWH,430,90.0
MASERATI GRANTURISMO FOLGORE,425,83.0
VINFAST VF 8 ECO EXTENDED RANGE,425,87.7
VINFAST VF 8 PLUS EXTENDED RANGE,425,87.7
PORSCHE TAYCAN GTS SPORT TURISMO,425,83.7
PORSCHE TAYCAN 4S CROSS TURISMO,425,83.7
PORSCHE TAYCAN 4 CROSS TURISMO,425,83.7
FORD MUSTANG MACH-E GT,425,91.0
MERCEDES EQE SUV AMG 53 4MATIC+,425,90.6
AUDI Q4 SPORTBACK E-TRON 40,425,76.6
SKODA ENYAQ IV 80,420,77.0
VOLVO C40 RECHARGE SINGLE MOTOR ER,420,79.0
NISSAN ARIYA E-4ORCE 87KWH - 225 KW,420,87.0
NISSAN ARIYA E-4ORCE 87KWH - 290 KW,420,87.0
POLESTAR 2 LONG RANGE DUAL MOTOR,420,78.0
AUDI E-TRON GT QUATTRO,420,85.0
TESLA MODEL Y PERFORMANCE,415,75.0
PORSCHE TAYCAN TURBO,415,83.7
AUDI Q8 E-TRON 50 QUATTRO,415,89.0
POLESTAR 2 LONG RANGE PERFORMANCE,410,78.0
VOLKSWAGEN ID.4 PRO PERFORMANCE,410,77.0
VOLKSWAGEN ID.4 PRO,410,77.0
PORSCHE TAYCAN,410,71.0
