N,Time,Time/User
1,20.285671,20.285671
2,20.155751,10.077875
3,19.668756,6.556252
4,20.302358,5.075589
5,20.882510,4.176502
6,21.018277,3.503046
7,19.669865,2.809980
8,19.563216,2.445402
9,20.426275,2.269586
10,20.396645,2.039664
11,19.948371,1.813488
12,20.364193,1.697016
13,19.622502,1.509423
14,20.617486,1.472677
15,23.997241,1.599816
16,25.478072,1.592379
17,25.446447,1.496849
18,25.131270,1.396181
19,25.805497,1.358184
20,25.241015,1.262050
21,25.372562,1.208217
22,24.784980,1.126590
23,24.963138,1.085353
24,24.868064,1.036169
25,26.050312,1.042012
26,25.824347,.993244
27,25.086795,.929140
28,24.964260,.891580
29,31.883060,1.099415
30,30.785854,1.026195
31,30.174424,.973368
32,31.238951,.976217
33,31.114601,.942866
34,31.434320,.924538
35,30.866687,.881905
36,31.206989,.866860
37,31.119176,.841058
38,30.913698,.813518
39,32.082250,.822621
40,31.541041,.788526
41,31.796295,.775519
42,31.692128,.754574
43,31.048176,.722050
44,32.323931,.734634
45,32.378088,.719513
46,32.362794,.703539
47,32.822895,.698359
48,32.520989,.677520
49,32.547257,.664229
50,31.925913,.638518
51,32.275745,.632857
52,32.344956,.622018
53,32.474516,.612726
54,31.427276,.581986
55,32.244828,.586269
56,32.434434,.579186
57,37.358848,.655418
58,36.762178,.633830
59,37.936031,.642983
60,37.849283,.630821
61,37.406632,.613223
62,36.458226,.588035
63,36.336552,.576770
64,36.698390,.573412
65,36.979549,.568916
66,36.890956,.558953
67,36.585050,.546045
68,37.476317,.551122
69,37.420240,.542322
70,36.764138,.525201
71,37.097287,.522497
72,38.547627,.535383
73,37.612910,.515245
74,36.524557,.493575
75,37.756322,.503417
76,37.765530,.496914
77,37.476526,.486708
78,37.882768,.485676
79,37.312961,.472315
80,37.766507,.472081
81,38.128299,.470719
82,37.929540,.462555
83,37.806206,.455496
84,37.917145,.451394
85,38.375545,.451477
86,38.048565,.442425
87,38.060002,.437471
88,38.369778,.436020
89,38.989566,.438085
90,38.130587,.423673
91,37.057970,.407230
92,37.375817,.406258
93,38.925685,.418555
94,41.291845,.439274
95,40.610408,.427477
96,42.652989,.444301
97,41.525668,.428099
98,40.081093,.408990
99,41.375525,.417934
100,40.387002,.403870
